shipment_id,order_id,shipment_date,delivery_date,days_between_shipement_delivery,carrier,tracking_number,shipment_status,updated_at
26,26,2024-07-08,2024-07-14,6,DHL,TRK357860,Delivered,
98,98,2024-09-19,2024-09-25,6,DHL,TRK299125,Delivered,
233,233,2023-11-17,2023-11-23,6,DHL,TRK532812,Delivered,
236,236,2024-03-15,2024-03-21,6,DHL,TRK978801,Delivered,
302,302,2024-02-14,2024-02-20,6,DHL,TRK034046,Delivered,
305,305,2024-04-11,2024-04-17,6,DHL,TRK438086,Delivered,
452,452,2023-12-23,2023-12-29,6,DHL,TRK946833,Delivered,
533,533,2024-10-18,2024-10-24,6,DHL,TRK228468,Delivered,
599,599,2024-03-14,2024-03-20,6,DHL,TRK279330,Delivered,
617,617,2024-03-21,2024-03-27,6,DHL,TRK252673,Delivered,
701,701,2024-07-16,2024-07-22,6,DHL,TRK336913,Delivered,
779,779,2023-12-15,2023-12-21,6,DHL,TRK266197,Delivered,
782,782,2023-12-14,2023-12-20,6,DHL,TRK596032,Delivered,
965,965,2024-05-08,2024-05-14,6,DHL,TRK609325,Delivered,
1058,1058,2024-07-25,2024-07-31,6,DHL,TRK497602,Delivered,
1061,1061,2024-10-27,2024-11-02,6,DHL,TRK421897,Delivered,
1091,1091,2024-10-10,2024-10-16,6,DHL,TRK053687,Delivered,
1103,1103,2023-11-26,2023-12-02,6,DHL,TRK552269,Delivered,
1139,1139,2024-03-19,2024-03-25,6,DHL,TRK386076,Delivered,
1148,1148,2024-08-07,2024-08-13,6,DHL,TRK690409,Delivered,
1211,1211,2024-10-16,2024-10-22,6,DHL,TRK923930,Delivered,
1253,1253,2024-08-20,2024-08-26,6,DHL,TRK559297,Delivered,
1277,1277,2024-05-17,2024-05-23,6,DHL,TRK115972,Delivered,
1283,1283,2024-06-13,2024-06-19,6,DHL,TRK227830,Delivered,
1343,1343,2024-05-22,2024-05-28,6,DHL,TRK869737,Delivered,
1373,1373,2024-03-31,2024-04-06,6,DHL,TRK756133,Delivered,
1406,1406,2024-04-01,2024-04-07,6,DHL,TRK549194,Delivered,
1427,1427,2024-04-12,2024-04-18,6,DHL,TRK885459,Delivered,
1430,1430,2024-03-08,2024-03-14,6,DHL,TRK005742,Delivered,
1472,1472,2024-02-14,2024-02-20,6,DHL,TRK766450,Delivered,
1487,1487,2024-08-17,2024-08-23,6,DHL,TRK101603,Delivered,
1493,1493,2023-11-18,2023-11-24,6,DHL,TRK803730,Delivered,
1517,1517,2024-09-15,2024-09-21,6,DHL,TRK502553,Delivered,
1595,1595,2024-11-02,2024-11-08,6,DHL,TRK477754,Delivered,
1694,1694,2024-02-15,2024-02-21,6,DHL,TRK559965,Delivered,
1760,1760,2024-06-14,2024-06-20,6,DHL,TRK232661,Delivered,
1796,1796,2024-05-17,2024-05-23,6,DHL,TRK633805,Delivered,
1802,1802,2024-09-02,2024-09-08,6,DHL,TRK871509,Delivered,
1832,1832,2023-11-22,2023-11-28,6,DHL,TRK810611,Delivered,
1871,1871,2024-01-22,2024-01-28,6,DHL,TRK808346,Delivered,
1964,1964,2024-01-22,2024-01-28,6,DHL,TRK805538,Delivered,
2012,2012,2024-02-10,2024-02-16,6,DHL,TRK682712,Delivered,
2024,2024,2024-05-10,2024-05-16,6,DHL,TRK355543,Delivered,
2078,2078,2024-01-16,2024-01-22,6,DHL,TRK298867,Delivered,
2129,2129,2023-12-13,2023-12-19,6,DHL,TRK391852,Delivered,
2270,2270,2023-11-11,2023-11-17,6,DHL,TRK164024,Delivered,
2312,2312,2023-12-19,2023-12-25,6,DHL,TRK675794,Delivered,
2456,2456,2024-10-01,2024-10-07,6,DHL,TRK278363,Delivered,
2531,2531,2024-07-26,2024-08-01,6,DHL,TRK853770,Delivered,
2537,2537,2024-04-22,2024-04-28,6,DHL,TRK378533,Delivered,
2582,2582,2024-01-14,2024-01-20,6,DHL,TRK272188,Delivered,
2588,2588,2023-12-10,2023-12-16,6,DHL,TRK429578,Delivered,
2609,2609,2024-08-19,2024-08-25,6,DHL,TRK302814,Delivered,
2645,2645,2024-06-06,2024-06-12,6,DHL,TRK243681,Delivered,
2702,2702,2024-09-11,2024-09-17,6,DHL,TRK433047,Delivered,
2732,2732,2024-07-10,2024-07-16,6,DHL,TRK934460,Delivered,
2759,2759,2024-08-21,2024-08-27,6,DHL,TRK291893,Delivered,
2768,2768,2024-03-28,2024-04-03,6,DHL,TRK019472,Delivered,
2789,2789,2023-12-21,2023-12-27,6,DHL,TRK129722,Delivered,
2861,2861,2024-02-01,2024-02-07,6,DHL,TRK797745,Delivered,
2924,2924,2024-09-04,2024-09-10,6,DHL,TRK507018,Delivered,
2942,2942,2023-12-25,2023-12-31,6,DHL,TRK594767,Delivered,
3014,3014,2024-09-22,2024-09-28,6,DHL,TRK943685,Delivered,
3137,3137,2024-03-12,2024-03-18,6,DHL,TRK053683,Delivered,
3170,3170,2024-02-27,2024-03-04,6,DHL,TRK351915,Delivered,
3248,3248,2024-05-16,2024-05-22,6,DHL,TRK767174,Delivered,
3290,3290,2024-05-19,2024-05-25,6,DHL,TRK018625,Delivered,
3365,3365,2024-07-18,2024-07-24,6,DHL,TRK460205,Delivered,
3416,3416,2023-11-17,2023-11-23,6,DHL,TRK388556,Delivered,
3422,3422,2024-05-12,2024-05-18,6,DHL,TRK725346,Delivered,
3443,3443,2024-05-17,2024-05-23,6,DHL,TRK040381,Delivered,
3485,3485,2024-06-01,2024-06-07,6,DHL,TRK767578,Delivered,
3536,3536,2024-09-18,2024-09-24,6,DHL,TRK654290,Delivered,
3575,3575,2024-05-21,2024-05-27,6,DHL,TRK223942,Delivered,
3680,3680,2024-02-07,2024-02-13,6,DHL,TRK130151,Delivered,
3692,3692,2024-08-28,2024-09-03,6,DHL,TRK439132,Delivered,
3707,3707,2024-05-28,2024-06-03,6,DHL,TRK139331,Delivered,
3710,3710,2024-07-08,2024-07-14,6,DHL,TRK602143,Delivered,
3734,3734,2024-09-29,2024-10-05,6,DHL,TRK065895,Delivered,
3806,3806,2024-04-05,2024-04-11,6,DHL,TRK231086,Delivered,
3896,3896,2024-04-07,2024-04-13,6,DHL,TRK560336,Delivered,
3935,3935,2024-04-23,2024-04-29,6,DHL,TRK144623,Delivered,
4082,4082,2024-11-05,2024-11-11,6,DHL,TRK412703,Delivered,
4358,4358,2024-08-22,2024-08-28,6,DHL,TRK400483,Delivered,
4370,4370,2024-08-04,2024-08-10,6,DHL,TRK090590,Delivered,
4388,4388,2024-10-27,2024-11-02,6,DHL,TRK957740,Delivered,
4397,4397,2024-04-27,2024-05-03,6,DHL,TRK406118,Delivered,
4616,4616,2024-07-23,2024-07-29,6,DHL,TRK553081,Delivered,
4664,4664,2024-03-26,2024-04-01,6,DHL,TRK617451,Delivered,
4784,4784,2024-05-16,2024-05-22,6,DHL,TRK034653,Delivered,
4886,4886,2024-03-22,2024-03-28,6,DHL,TRK248719,Delivered,
4892,4892,2024-08-11,2024-08-17,6,DHL,TRK424756,Delivered,
4922,4922,2024-05-27,2024-06-02,6,DHL,TRK924943,Delivered,
4943,4943,2024-07-25,2024-07-31,6,DHL,TRK437976,Delivered,
5027,5027,2024-09-04,2024-09-10,6,DHL,TRK274041,Delivered,
5045,5045,2024-09-20,2024-09-26,6,DHL,TRK066581,Delivered,
5054,5054,2024-11-04,2024-11-10,6,DHL,TRK560963,Delivered,
5123,5123,2024-02-25,2024-03-02,6,DHL,TRK503611,Delivered,
5132,5132,2024-07-08,2024-07-14,6,DHL,TRK126881,Delivered,
5147,5147,2024-07-01,2024-07-07,6,DHL,TRK651720,Delivered,
5192,5192,2024-03-18,2024-03-24,6,DHL,TRK229838,Delivered,
5198,5198,2024-05-04,2024-05-10,6,DHL,TRK784708,Delivered,
5297,5297,2024-07-27,2024-08-02,6,DHL,TRK623167,Delivered,
5348,5348,2024-04-24,2024-04-30,6,DHL,TRK854182,Delivered,
5366,5366,2024-08-18,2024-08-24,6,DHL,TRK978306,Delivered,
5423,5423,2024-09-24,2024-09-30,6,DHL,TRK780820,Delivered,
5549,5549,2024-01-30,2024-02-05,6,DHL,TRK005896,Delivered,
5609,5609,2024-09-24,2024-09-30,6,DHL,TRK003331,Delivered,
5669,5669,2024-03-17,2024-03-23,6,DHL,TRK507455,Delivered,
5729,5729,2024-05-16,2024-05-22,6,DHL,TRK778361,Delivered,
5744,5744,2023-11-20,2023-11-26,6,DHL,TRK159664,Delivered,
5807,5807,2024-02-17,2024-02-23,6,DHL,TRK437769,Delivered,
5870,5870,2024-10-05,2024-10-11,6,DHL,TRK899643,Delivered,
5948,5948,2024-09-27,2024-10-03,6,DHL,TRK199374,Delivered,
6002,6002,2024-09-01,2024-09-07,6,DHL,TRK814885,Delivered,
6065,6065,2023-12-02,2023-12-08,6,DHL,TRK925257,Delivered,
6161,6161,2024-09-08,2024-09-14,6,DHL,TRK293435,Delivered,
6209,6209,2023-11-27,2023-12-03,6,DHL,TRK736814,Delivered,
6245,6245,2024-06-19,2024-06-25,6,DHL,TRK715480,Delivered,
6293,6293,2023-11-16,2023-11-22,6,DHL,TRK899221,Delivered,
6320,6320,2023-12-19,2023-12-25,6,DHL,TRK970890,Delivered,
6353,6353,2024-03-28,2024-04-03,6,DHL,TRK045356,Delivered,
6605,6605,2024-05-18,2024-05-24,6,DHL,TRK017286,Delivered,
6614,6614,2023-12-03,2023-12-09,6,DHL,TRK197352,Delivered,
6662,6662,2024-06-24,2024-06-30,6,DHL,TRK495205,Delivered,
6719,6719,2024-09-03,2024-09-09,6,DHL,TRK310950,Delivered,
6812,6812,2024-01-03,2024-01-09,6,DHL,TRK948644,Delivered,
6965,6965,2024-02-19,2024-02-25,6,DHL,TRK744807,Delivered,
7010,7010,2024-06-29,2024-07-05,6,DHL,TRK344110,Delivered,
7070,7070,2024-03-23,2024-03-29,6,DHL,TRK387072,Delivered,
7106,7106,2024-07-22,2024-07-28,6,DHL,TRK075847,Delivered,
7172,7172,2024-10-01,2024-10-07,6,DHL,TRK633065,Delivered,
7265,7265,2024-10-23,2024-10-29,6,DHL,TRK970878,Delivered,
7343,7343,2024-10-06,2024-10-12,6,DHL,TRK960815,Delivered,
7385,7385,2024-09-08,2024-09-14,6,DHL,TRK460135,Delivered,
7391,7391,2024-08-19,2024-08-25,6,DHL,TRK214858,Delivered,
7397,7397,2024-05-05,2024-05-11,6,DHL,TRK547583,Delivered,
7403,7403,2024-09-08,2024-09-14,6,DHL,TRK962222,Delivered,
7442,7442,2024-03-22,2024-03-28,6,DHL,TRK791175,Delivered,
7457,7457,2024-07-05,2024-07-11,6,DHL,TRK276581,Delivered,
7466,7466,2024-06-03,2024-06-09,6,DHL,TRK173280,Delivered,
7484,7484,2024-05-17,2024-05-23,6,DHL,TRK499402,Delivered,
7610,7610,2024-04-18,2024-04-24,6,DHL,TRK984846,Delivered,
7739,7739,2024-04-11,2024-04-17,6,DHL,TRK430137,Delivered,
7772,7772,2024-06-27,2024-07-03,6,DHL,TRK919035,Delivered,
7793,7793,2024-06-27,2024-07-03,6,DHL,TRK891703,Delivered,
7832,7832,2024-05-24,2024-05-30,6,DHL,TRK700496,Delivered,
7838,7838,2024-09-12,2024-09-18,6,DHL,TRK756576,Delivered,
7847,7847,2024-08-01,2024-08-07,6,DHL,TRK390266,Delivered,
8012,8012,2024-10-05,2024-10-11,6,DHL,TRK073364,Delivered,
8018,8018,2024-01-05,2024-01-11,6,DHL,TRK278310,Delivered,
8027,8027,2024-10-04,2024-10-10,6,DHL,TRK901984,Delivered,
8066,8066,2024-10-06,2024-10-12,6,DHL,TRK568895,Delivered,
8090,8090,2024-06-07,2024-06-13,6,DHL,TRK641996,Delivered,
8099,8099,2024-05-26,2024-06-01,6,DHL,TRK072329,Delivered,
8132,8132,2024-01-27,2024-02-02,6,DHL,TRK753713,Delivered,
8198,8198,2024-10-31,2024-11-06,6,DHL,TRK718930,Delivered,
8240,8240,2024-04-01,2024-04-07,6,DHL,TRK256829,Delivered,
8294,8294,2024-04-28,2024-05-04,6,DHL,TRK850052,Delivered,
8306,8306,2024-06-18,2024-06-24,6,DHL,TRK195977,Delivered,
8393,8393,2024-08-07,2024-08-13,6,DHL,TRK516071,Delivered,
8405,8405,2024-03-13,2024-03-19,6,DHL,TRK228323,Delivered,
8495,8495,2024-11-02,2024-11-08,6,DHL,TRK383270,Delivered,
8519,8519,2024-05-04,2024-05-10,6,DHL,TRK788730,Delivered,
8537,8537,2024-04-14,2024-04-20,6,DHL,TRK599663,Delivered,
8765,8765,2024-01-01,2024-01-07,6,DHL,TRK582367,Delivered,
8777,8777,2024-01-09,2024-01-15,6,DHL,TRK684925,Delivered,
8816,8816,2024-08-12,2024-08-18,6,DHL,TRK012089,Delivered,
8867,8867,2024-07-06,2024-07-12,6,DHL,TRK879064,Delivered,
8879,8879,2024-08-08,2024-08-14,6,DHL,TRK536013,Delivered,
8909,8909,2024-06-19,2024-06-25,6,DHL,TRK125582,Delivered,
8924,8924,2024-07-18,2024-07-24,6,DHL,TRK526975,Delivered,
8942,8942,2024-05-15,2024-05-21,6,DHL,TRK189588,Delivered,
9134,9134,2024-03-24,2024-03-30,6,DHL,TRK388520,Delivered,
9152,9152,2024-04-12,2024-04-18,6,DHL,TRK611345,Delivered,
9284,9284,2023-12-18,2023-12-24,6,DHL,TRK840618,Delivered,
9305,9305,2024-01-30,2024-02-05,6,DHL,TRK943368,Delivered,
9449,9449,2024-02-01,2024-02-07,6,DHL,TRK835818,Delivered,
9533,9533,2024-08-10,2024-08-16,6,DHL,TRK870797,Delivered,
9611,9611,2024-03-26,2024-04-01,6,DHL,TRK611714,Delivered,
9626,9626,2024-02-01,2024-02-07,6,DHL,TRK078424,Delivered,
